iter	Logloss
0	0.5883805954
1	0.5030682692
2	0.433896732
3	0.377876705
4	0.331483532
5	0.2939938691
6	0.2638382776
7	0.2386097747
8	0.2181809637
9	0.2011126739
10	0.1876321492
11	0.1760935805
12	0.1663118105
13	0.1582408491
14	0.1514764473
15	0.1459727237
16	0.141151563
17	0.1370706542
18	0.1337764939
19	0.1309128244
20	0.1285518418
21	0.1265308276
22	0.1247476322
23	0.1232394487
24	0.1219394177
25	0.1208200012
26	0.1197046316
27	0.1187396963
28	0.117984312
29	0.1173134143
30	0.1166020838
31	0.1161207796
32	0.1157181839
33	0.1153682571
34	0.1150294581
35	0.1147240246
36	0.1144424784
37	0.1142063811
38	0.1140252489
39	0.113878177
40	0.1137063561
41	0.113579083
42	0.1132771054
43	0.1131752756
44	0.1128825967
45	0.1126897311
46	0.1125950198
47	0.1125011373
48	0.1123445676
49	0.1122841502
50	0.1122553628
51	0.1122042048
52	0.1121621673
53	0.1119941042
54	0.1119524424
55	0.1117582553
56	0.1116632483
57	0.1116015463
58	0.1114378449
59	0.1114274591
60	0.1113909824
61	0.1111949214
62	0.111108444
63	0.1109060684
64	0.1108807231
65	0.1107261856
66	0.1107182444
67	0.1107100032
68	0.1105249475
69	0.1103907149
70	0.1102178088
71	0.1100105633
72	0.1100085976
73	0.1100046896
74	0.1098240477
75	0.1098238276
76	0.1098224695
77	0.1098222811
78	0.1098196282
79	0.1097823622
80	0.1096470276
81	0.1096469443
82	0.1094900092
83	0.1094885497
84	0.1094738303
85	0.1093252918
86	0.109324314
87	0.1093234505
88	0.1091908203
89	0.1091039167
90	0.1090968123
91	0.1090965654
92	0.1090945171
93	0.1090486566
94	0.1090332856
95	0.1090332596
96	0.1088736395
97	0.1088735215
98	0.1088543245
99	0.108852911
100	0.1088528195
101	0.108837291
102	0.1087133391
103	0.1087132728
104	0.1085869463
105	0.1084270441
106	0.1082542161
107	0.108252597
108	0.1082519319
109	0.1081342383
110	0.1079718398
111	0.1079670965
112	0.107816692
113	0.1076810552
114	0.1076769452
115	0.1076763977
116	0.1074792811
117	0.1073097846
118	0.1073050161
119	0.1071425572
120	0.107115375
121	0.1070765895
122	0.1070184212
123	0.1069819766
124	0.1068243682
125	0.1068129646
126	0.1066400114
127	0.106627763
128	0.1064526887
129	0.1064171052
130	0.1064166755
131	0.1064136265
132	0.1064131478
133	0.1064084167
134	0.1064081488
135	0.1064030026
136	0.106394594
137	0.1063088341
138	0.1063062413
139	0.1063059745
140	0.106290547
141	0.1062903875
142	0.1062901372
143	0.1062847223
144	0.1061572851
145	0.10607075
146	0.1060703727
147	0.1059109264
148	0.1059039693
149	0.1058996052
150	0.105899446
151	0.1058905305
152	0.1058836104
153	0.1058833814
154	0.1058801642
155	0.10587835
156	0.1058471532
157	0.1058469768
158	0.1057672446
159	0.1057669072
160	0.1057667464
161	0.1056232063
162	0.1056218892
163	0.105615407
164	0.1056152726
165	0.1056149682
166	0.1055666673
167	0.1055449907
168	0.1055193406
169	0.1055192614
170	0.1055191914
171	0.1055190536
172	0.1055189317
173	0.1055187743
174	0.1055186645
175	0.1055186269
176	0.1055185545
177	0.105496907
178	0.1054966679
179	0.1054965718
180	0.1054963098
181	0.1054946078
182	0.1054945887
183	0.1054943532
184	0.1054943234
185	0.105463355
186	0.1054456386
187	0.1054423821
188	0.1054415112
189	0.105441444
190	0.1054414309
191	0.1054414193
192	0.1054413222
193	0.1054164629
194	0.1054162186
195	0.1054162003
196	0.1054161546
197	0.1054161072
198	0.1054148941
199	0.1052989553
200	0.1052989022
201	0.1052987282
202	0.1051957648
203	0.1051696501
204	0.1051696039
205	0.1050294215
206	0.1050293251
207	0.1050290268
208	0.1050288922
209	0.1050288198
210	0.1050287749
211	0.105028526
212	0.1050283948
213	0.1050251428
214	0.1050250969
215	0.1050250239
216	0.1050249594
217	0.1050248301
218	0.1050247964
219	0.1050247277
