iter	Passed	Remaining
0	27	27950
1	52	26168
2	84	28132
3	107	26653
4	134	26735
5	162	26890
6	187	26527
7	214	26570
8	248	27335
9	275	27301
10	306	27521
11	334	27547
12	362	27498
13	389	27432
14	417	27418
15	442	27209
16	476	27532
17	504	27507
18	534	27612
19	562	27573
20	586	27346
21	610	27133
22	634	26953
23	656	26714
24	684	26684
25	708	26539
26	736	26541
27	766	26624
28	791	26491
29	816	26387
30	842	26347
31	866	26221
32	896	26268
33	920	26158
34	951	26220
35	975	26109
36	998	25986
37	1023	25916
38	1046	25780
39	1067	25623
40	1092	25550
41	1123	25637
42	1154	25697
43	1181	25663
44	1208	25637
45	1236	25635
46	1261	25576
47	1288	25560
48	1314	25508
49	1347	25607
50	1376	25607
51	1400	25524
52	1423	25442
53	1452	25440
54	1474	25341
55	1501	25308
56	1525	25236
57	1551	25205
58	1594	25433
59	1616	25331
60	1642	25282
61	1672	25299
62	1711	25453
63	1739	25445
64	1771	25481
65	1802	25505
66	1828	25456
67	1850	25360
68	1878	25342
69	1905	25319
70	1933	25296
71	1961	25276
72	1991	25283
73	2020	25287
74	2049	25273
75	2070	25167
76	2091	25074
77	2112	24971
78	2137	24913
79	2160	24849
80	2188	24834
81	2215	24804
82	2251	24873
83	2273	24788
84	2295	24712
85	2322	24686
86	2343	24590
87	2364	24504
88	2389	24461
89	2415	24425
90	2446	24433
91	2476	24442
92	2499	24373
93	2524	24329
94	2548	24274
95	2569	24198
96	2598	24186
97	2621	24130
98	2649	24111
99	2670	24037
100	2700	24039
101	2723	23977
102	2749	23947
103	2771	23875
104	2798	23857
105	2832	23890
106	2860	23869
107	2883	23812
108	2912	23804
109	2939	23783
110	2966	23761
111	2989	23705
112	3017	23685
113	3050	23707
114	3073	23653
115	3094	23580
116	3131	23632
117	3159	23617
118	3182	23559
119	3209	23534
120	3233	23490
121	3272	23554
122	3298	23519
123	3323	23475
124	3359	23515
125	3382	23462
126	3409	23435
127	3431	23375
128	3459	23358
129	3489	23355
130	3515	23319
131	3538	23265
132	3559	23201
133	3587	23185
134	3608	23124
135	3632	23079
136	3656	23031
137	3683	23009
138	3714	23007
139	3735	22946
140	3759	22904
141	3782	22853
142	3812	22850
143	3833	22790
144	3861	22768
145	3887	22740
146	3909	22685
147	3946	22718
148	3968	22667
149	3990	22611
150	4011	22553
151	4041	22545
152	4065	22504
153	4085	22443
154	4108	22395
155	4130	22346
156	4163	22355
157	4184	22299
158	4208	22262
159	4235	22237
160	4257	22186
161	4289	22186
162	4310	22134
163	4334	22096
164	4355	22043
165	4380	22010
166	4408	21991
167	4432	21949
168	4464	21950
169	4485	21901
170	4509	21859
171	4531	21812
172	4552	21762
173	4575	21719
174	4616	21763
175	4636	21709
176	4659	21664
177	4692	21670
178	4714	21622
179	4734	21570
180	4755	21518
181	4777	21472
182	4798	21423
183	4822	21388
184	4848	21358
185	4874	21331
186	4900	21304
187	4923	21266
188	4946	21226
189	4967	21178
190	4989	21131
191	5011	21088
192	5041	21078
193	5066	21048
194	5087	21001
195	5116	20986
196	5139	20949
197	5160	20903
198	5182	20861
199	5210	20842
200	5232	20799
201	5262	20789
202	5288	20763
203	5313	20731
204	5343	20722
205	5371	20703
206	5391	20653
207	5412	20609
208	5433	20565
209	5456	20525
210	5487	20519
211	5508	20474
212	5529	20432
213	5561	20426
214	5583	20387
215	5605	20344
216	5626	20300
217	5646	20253
218	5667	20213
219	5693	20185
220	5721	20166
221	5743	20129
222	5768	20099
223	5794	20072
224	5814	20027
225	5836	19989
226	5861	19958
227	5882	19918
228	5910	19898
229	5936	19873
230	5957	19833
231	5994	19843
232	6015	19803
233	6039	19771
234	6068	19755
235	6092	19721
236	6112	19679
237	6140	19660
238	6161	19618
239	6184	19584
240	6209	19557
241	6234	19528
242	6259	19500
243	6281	19461
244	6302	19423
245	6333	19411
246	6354	19371
247	6382	19352
248	6402	19308
249	6438	19315
250	6460	19278
251	6483	19245
252	6504	19205
253	6527	19172
254	6560	19165
255	6581	19126
256	6603	19090
257	6629	19067
258	6658	19049
259	6681	19015
260	6702	18978
261	6722	18935
262	6743	18897
263	6770	18875
264	6792	18838
265	6813	18801
266	6833	18760
267	6854	18722
268	6885	18711
269	6905	18671
270	6927	18635
271	6948	18598
272	6970	18562
273	7000	18549
274	7021	18512
275	7048	18489
276	7068	18448
277	7093	18422
278	7120	18401
279	7141	18362
280	7164	18330
281	7195	18319
282	7216	18282
283	7237	18245
284	7263	18222
285	7284	18184
286	7315	18173
287	7336	18136
288	7357	18100
289	7378	18065
290	7405	18042
291	7428	18011
292	7449	17975
293	7471	17941
294	7497	17918
295	7523	17894
296	7548	17866
297	7569	17830
298	7589	17793
299	7623	17787
300	7644	17751
301	7664	17714
302	7685	17679
303	7709	17650
304	7735	17625
305	7763	17607
306	7784	17572
307	7806	17539
308	7831	17513
309	7860	17495
310	7881	17460
311	7901	17424
312	7923	17390
313	7955	17380
314	7976	17345
315	7997	17310
316	8019	17277
317	8053	17271
318	8089	17269
319	8122	17261
320	8145	17230
321	8179	17223
322	8201	17190
323	8223	17156
324	8251	17137
325	8282	17123
326	8304	17090
327	8324	17056
328	8346	17022
329	8373	17001
330	8412	17002
331	8437	16976
332	8458	16942
333	8478	16905
334	8511	16895
335	8532	16862
336	8559	16839
337	8580	16806
338	8603	16775
339	8629	16752
340	8655	16727
341	8678	16697
342	8699	16663
343	8724	16636
344	8751	16614
345	8772	16580
346	8792	16546
347	8815	16516
348	8847	16504
349	8868	16470
350	8889	16437
351	8912	16407
352	8944	16393
353	8965	16360
354	8992	16339
355	9014	16308
356	9036	16276
357	9067	16259
358	9090	16231
359	9111	16198
360	9133	16166
361	9167	16156
362	9189	16126
363	9211	16094
364	9234	16064
365	9255	16033
366	9292	16027
367	9315	15997
368	9336	15966
369	9360	15937
370	9393	15925
371	9413	15891
372	9435	15860
373	9457	15829
374	9480	15800
375	9509	15781
376	9532	15752
377	9553	15720
378	9574	15688
379	9602	15667
380	9626	15639
381	9667	15640
382	9688	15608
383	9714	15584
384	9741	15561
385	9762	15529
386	9783	15497
387	9813	15478
388	9843	15460
389	9864	15429
390	9885	15396
391	9907	15366
392	9945	15361
393	9967	15330
394	9988	15298
395	10010	15268
396	10042	15253
397	10066	15226
398	10087	15194
399	10108	15162
400	10130	15132
401	10154	15105
402	10186	15090
403	10207	15059
404	10229	15027
405	10254	15003
406	10285	14986
407	10308	14956
408	10329	14925
409	10363	14913
410	10386	14885
411	10410	14857
412	10431	14827
413	10452	14795
414	10483	14778
415	10506	14748
416	10529	14720
417	10549	14688
418	10582	14673
419	10610	14651
420	10632	14623
421	10656	14595
422	10709	14608
